name,facility_type,abbrev_location,location,latitude,longitude,date_opened,date_closed,location_descr,peak_population,date_peak,link,link2
Fort Richardson,U.S. Army Internment Camp,"Fort Richardson, AK","Fort Richardson, Alaska",61.25,-149.6833,,,"Located 9 miles north of downtown Anchorage, Alaska.",17,2/14/1942,https://encyclopedia.densho.org/Fort%20Richardson%20(detention%20facility),
Fort Sam Houston,U.S. Army Internment Camp,"Fort Sam Houston, TX","Fort Sam Houston, Texas",29.4167,-98.4833,,,"Located in San Antonio, Texas.",247,6/18/1942,https://encyclopedia.densho.org/Fort%20Sam%20Houston%20(detention%20facility),
Fort Sill,U.S. Army Internment Camp,"Fort Sill, OK","Fort Sill, Oklahoma",34.6167,-98.3667,,6/24/1942,"Located in Comanche County, 3 miles north of Lawton, Oklahoma, southwest of Oklahoma City. The camp saw unusually strong windstorms in the spring and scorching hot temperatures in the summer.",707,5/4/1942,https://encyclopedia.densho.org/Fort%20Sill%20(detention%20facility),
Fresno,Temporary Assembly Center,"Fresno, CA","Fresno, California",36.7333,-119.7667,5/6/1942,10/30/1942,Located at the Fresno County Fairgrounds in central California.,5120,9/4/1942,https://encyclopedia.densho.org/Fresno%20(detention%20facility),https://en.wikipedia.org/wiki/The_Big_Fresno_Fair#Fresno_Assembly_Center
Gila River,Concentration Camp,"Rivers, AZ","Rivers, Arizona",32.1667,-111.8667,7/20/1942,11/16/1945,"Located in a valley within the Gila River Indian Reservation in Pinal County, 50 miles south of Phoenix, 3 miles north of the Sacaton Mountains. Consisted of two separate camps: Canal and Butte, located 3.5 miles apart between irrigation canals. The 16,500 acres are in an arid desert valley with average summer temperatures over 100 degrees. Vegetation includes mesquite, creosote, and cactus.",13348,11/30/1942,https://encyclopedia.densho.org/Gila%20River,
Griffith Park,U.S. Army Internment Camp,"Los Angeles, CA","Los Angeles, California",34.1667,-118.3,12/15/1941,,Located at a former Civilian Conservation Corps (CCC) camp in Southern California.,77,3/12/1942,https://encyclopedia.densho.org/Griffith%20Park%20(detention%20facility),
"Grove Park Inn, North Carolina",Other,"Asheville, NC","Asheville, North Carolina",35.6206373,-82.551031,4/3/1942,10/29/1942,Luxury hotel leased by the federal government for use as a detention site,,,"https://encyclopedia.densho.org/Grove%20Park%20Inn,%20North%20Carolina%20(detention%20facility)",
Heart Mountain,Concentration Camp,"Cody, WY","Cody, Wyoming",44.5167,-109.05,8/12/1942,11/10/1945,"Located on 46,000 acres in Park County in northwest Wyoming, 12 miles northwest of Cody, in open sagebrush desert at 4,700 feet of elevation near the Shoshone River. Heart Mountain, 8 miles to the west, creates a dramatic backdrop. Dust storms are common. Winters are severe, with lows dipping to -30 degrees.",10767,1/1/1943,https://encyclopedia.densho.org/Heart%20Mountain,
Honolulu Police Station,Other,"Honolulu, Oahu, HI","Honolulu, Oahu, Hawaii",21.309661,-157.8633714,,,Short term detention facility used to house briefly house interned Issei.,,,https://encyclopedia.densho.org/Honolulu%20Police%20Station%20(detention%20facility),
Honouliuli,U.S. Army Internment Camp,"Honouliuli, Oahu, HI","Honouliuli, Oahu, Hawaii",21.4167,-158.0667,2/1/1943,,Located on 160 acres of sugarcane fields northwest of Honolulu. One of two camps used to imprison people of Japanese ancestry in Hawaii.,300,,https://encyclopedia.densho.org/Honouliuli%20(detention%20facility),
Jerome,Concentration Camp,"Denson, AR","Denson, Arkansas",33.3833,-91.4667,10/6/1942,6/30/1944,"Located in the Mississippi River delta region 12 miles west of the Mississippi River, 18 miles south of McGehee, 120 miles southeast of Little Rock. The 10,000-acre area was impoverished and consisted of heavily wooded swampland. It was 27 miles south of the Rohwer concentration camp. Summers were hot and humid, with chiggers, mosquitoes, and poisonous snakes.",8497,2/11/1943,https://encyclopedia.densho.org/Jerome,
